Index,text
26,"No jobs, no work everybody closing up places of unemployment and leaves everybody without jobs. Unions and strikes  cause it because they want more money and it messes up everybody else. I think old unions should be cut out of every place. They want to cut off social security and medicare for older people. We shouldn't have any wars unless our own country is at war and we shouldn't feed people in foreign countries we should feed our own people first make sure they have what they need . When forcing countries fight among themselves, we should stay out of it. Nobody knows what going to happen, no jobs and things aren't  getting better. People have committed suicide and killed their families because they last their homes and every thing, also the foreign countries We're helping will come over and kill us when they get on their feet, They've  no compassion for other countries."
27,"The problems of unemployment -- at present the unemployment rate is 6% and I think, realistically, if it stays at 6% or drops to 5%, we will have addressed the needs of those people who wish to work.  If it goes above 6%, we'll have a problem.  The possibility of a recession -- as long as we can keep the cost of living index at about 3 1/2% to 4%; as long as we can keep the unemployment factor at 5% to 6% ; and as long as we keep the gross national product base at about 3% a year, this country will not suffer through a recession.  If any of these factors do change radically, we could anticipate a mild recession.  Balance of the trade deficit -- presently our imports exceed our exports by 120 billion dollars this year.  We've got to try either to impose some quotas on the imports or convince the foreign countries to accept a greater portion of our exports.  To continue this trend, which this past year has been the worst, can only lead to the further erosion of jobs in the U. S."
28,"Poverty as an old folks and environment waste, chemical and human waste, trash, all kinds of waste. There's the nuclear bomb the big one. There should be one no Oh school systems they're lacking in funds the kids aren't being taught properly. The methods are ancient they've been trying to teach them all the same way and it doesn't work. I know a lot of kids who can learn but not in school 016 and the teachers are striking and that doesn't leave much for the kids they're not really well paid though, so what does the govt expect and that's a hard job too."
29,"Economy well, interest rates the unemployment. I think sometime we have too many federal programs. I think it's about time the U.S stop and listen to Americans problems as opposed to helping all these foreign countries. I fully lealize this is a free country, we nee to limit the aliens, after 1 year they should be required to take citizenship, were supporting too many people. Yes income tax on elderly should be exonerated, from paying all taxes, because they've paid taxes all their life. High cost of hospitals, nursing homes and medicine, it's for too much for people on a fixed income, I don't know what solution should be. Every town should try to help, through with senior services."
33,Agriculture -- I'm from a farming community and I am concerned about what's happening to farmers.  Financially they are finding it impossible to keep going.  There are families that are going bankrupt; caught up in the economic trends and can't get out.  Foreign policy -- I am concerned with the nuclear arms race; the power struggle is out of our hands and control.  National Debt -- I don't know what it would take to balance a budget.  Families and businesses have to contend with a profit or loss.  There has to be something we can do on a national level to keep economics affairs more in balance.
34,"The economy -- the prices, even though the economy has improved, the economy is dwindling.  Interest rates are hish.  So you should cut spending so that the economy will go down, so that there will more unemployment.  Inflation -- the price of goods are going to rise, so the inflation rate will start increasing again.  The national debt -- it is so high that we will be paying so much interest the value of money will be extinct.  Import deficit -- it is 38 billion dollars.  Money is going to other countries."
35,"We're losing our middle-class people.  Inflation.  The national debt.  Our federal reserve system.  Foreign trade -- I think it's a sin the way we allow other countries to manufacture goods for the American people and our people are out those jobs.  The feelings of the rest of the world about the Americans -- there are bad feelings and there's a reason, the average citizen isn't being told the truth by our government.  The rich are getting richer, the poor are getting poorer and also the middle class is getting poorer.  We see more jobs at minimum wages and low income yet prices of goods continues to go up.  Federal reserve system controls the world which is bad!"
41,"Inflation. The social security. Whether social security's going to be a continuing possibility in the time to come. when I retire will I get any money? Well my kids get any money. Foreign affairs. The problem in Nicaragua the far east our relations w/ The Soviet Union, the use of the bomb is tried in with that. I'm sure that there are but on taxation I'd like to see taxation in the UN. Not just one country but total participation in the UN and the concert. If they did that, they'd have their handful."
42,"Stabilizing true equality for the citizens. No that's what I think is the biggest problem true equality going toward that goal. We're developing a class structure that is going to be destructive. No the other issues will resolve themselves or the govt will go to war. That's the thing that's tearing the country apart. The deficit nuclear weapons a lack of concetration on science in the right direction using govt and to explore destructive areas father than positive addressing the pollution of the country clearing up the environment and cities of america , how we handle it."
43,The budget -- needs to be balanced.  I think we will probably have to pay out more taxes to balance it; more cuts in nationally funded organizations.  I'm afraid unemployment may rise.  Defense --  I have mixed feelings; I hope Reagan will have a strong posture on national defense.  The armament race -- there seems to be a strong nuclear arms race between all the countries.  Civil rights -- I would like to see more action on equal pay for comparable work and would like to hear less about discrimination.
